|kana|kanji|word_type|german|english|phon_row|level
589|うち| |(名)|Haus;Haushalt|a house, a household|vowel|jlpt-1
590|うまれる|生まれる|(動II)|geboren werden|be born, come into existence|vowel|jlpt-1
591|うみ|海|(名)|Meer;Ozean|sea, ocean|vowel|jlpt-1
592|うる|売る|(動I)|verkaufen|to sell|vowel|jlpt-1
593|うわぎ|上着|(名)|Mantel;Jacke|coat, suit jacket, upper garment, outerwear|vowel|jlpt-1
594|え|絵|(名)|Bild|picture, painting, drawing|vowel|jlpt-1
595|えいが|映画|(名)|Film|movie, motion picture|vowel|jlpt-1
596|えいがかん|映画館|(名)|Kino|a movie theatre|vowel|jlpt-1
597|えいご|英語|(名)|englische Sprache|English, the English language|vowel|jlpt-1
598|ええ| |(感)|ja|yes, yeah|vowel|jlpt-1
599|えき|駅|(名)|Bahnhof;Haltestelle|station|vowel|jlpt-1
600|エレベーター| |(名)|Aufzug|elevator|vowel|jlpt-1
601|～えん|～円|(名，尾)|~ Yen|~yen|vowel|jlpt-1
602|えんぴつ|鉛筆|(名)|Stift|pencil|vowel|jlpt-1
603|おいしい|美味しい|(形)|köstlich|good-tasting, delicious|vowel|jlpt-1
604|おおきい|大きい|(形)|groß|big, large, great|vowel|jlpt-1
605|おおぜい|大勢|(名)|eine Menge an Leuten;große Gruppe|a great number of people, a crowd|vowel|jlpt-1
606|おかあさん|お母さん|(名)|Mutter|mother|vowel|jlpt-1
607|おかし|お菓子|(名)|Süßigkeiten|sweets, confectionary, cake, pastry|vowel|jlpt-1
608|おかね|お金|(名)|Geld|money|vowel|jlpt-1
609|おきる|起きる|(動I)|aufwachen;aufstehen|wake up, get up; be up, be awake; take place, occur;|vowel|jlpt-1
610|おく|置く|(動I)|hinstellen;verlassen|put, place, lay, leave|vowel|jlpt-1
611|おくさん|奥さん|(名)|Ehefrau|wife, married woman|vowel|jlpt-1
612|おさけ|お酒|(名)|Alkohol|liquor, alcoholic beverage; sake, Japanese rice wine|vowel|jlpt-1
613|おさら|お皿|(名)|Platte;Teller|dish, plate, saucer, etc|vowel|jlpt-1
614|おじさん| |(名)|Onkel|uncle, a middle-aged man|vowel|jlpt-1
615|おじいさん| |(名)|Großvater|grandfather, an old man|vowel|jlpt-1
616|おしえる|教える|(動II)|lehren;informieren|teach; tell, inform|vowel|jlpt-1
617|おす|押す|(動I)|drücken;stempeln|push; stamp, seal|vowel|jlpt-1
618|おそい|遅い|(形)|langsam;spät sein|late; slow|vowel|jlpt-1
619|おちゃ|お茶|(名)|Tee|tea|vowel|jlpt-1
620|おてあらい|お手洗い|(名)|Toilette|lavatory, rest room, Ladies' Room, Men's Room|vowel|jlpt-1
621|おとうさん|お父さん|(名)|Vater|father|vowel|jlpt-1
622|おとうと|弟|(名)|jüngerer Bruder|younger brother|vowel|jlpt-1
623|おとこ|男|(名)|Mann;männlich|man, male|vowel|jlpt-1
624|おとこのこ|男の子|(名)|Junge|boy|vowel|jlpt-1
625|おととい| |(名)|vorgestern|the day before yesterday|vowel|jlpt-1
626|おととし| |(名)|vorletztes Jahr|the year before last|vowel|jlpt-1
627|おとな|大人|(名)|Erwachsener|an adult, a grown up|vowel|jlpt-1
628|おなか| |(名)|Magen|stomach|vowel|jlpt-1
629|おなじ|同じ|(形動)|gleich|the same, alike|vowel|jlpt-1
630|おにいさん|お兄さん|(名)|älterer Bruder|older brother|vowel|jlpt-1
631|おねえさん|お姉さん|(名)|ältere Schwester|older sister|vowel|jlpt-1
632|おばさん| |(名)|Tante|aunt; a middle-aged woman, a lady|vowel|jlpt-1
633|おばあさん| |(名)|Großmutter|grandmother; an elderly lady|vowel|jlpt-1
634|おべんとう|お弁当|(名)|Lunchbox|box lunch|vowel|jlpt-1
635|おぼえる|覚える|(動II)|erinnern;lernen|memorize, remember, know; learn, master|vowel|jlpt-1
636|おもい|重い|(形)|schwer|heavy; severe, grave|vowel|jlpt-1
637|おもしろい| |(形)|lustig|amusing, funny; pleasant, entertaining; interesting|vowel|jlpt-1
638|およぐ|泳ぐ|(動I)|schwimmen|swim|vowel|jlpt-1
639|おりる|降りる|(動II)|aussteigen|get off, disembark|vowel|jlpt-1
640|おわる|終わる|(動I)|beenden|to end; to finish doing something|vowel|jlpt-1
641|おんがく|音楽|(名)|Musik|music|vowel|jlpt-1
642|おんな|女|(名)|Frau;weiblich|woman, female|vowel|jlpt-1
643|おんなのこ|女の子|(名)|Mädchen|girl|vowel|jlpt-1
644|ワイシャツ||(名)|Hemd|Y shirt, business shirt|w|jlpt-1
645|わかい|若い |(形)|jung|young|w|jlpt-1
646|わかる|分る |(動I)|verstehen;klar werden|to be understood|w|jlpt-1
647|わすれる|忘れる |(動I)|vergessen|to forget|w|jlpt-1
648|わたくし|私 |(代)|ich|I|w|jlpt-1
649|わたし|私|(代)|ich|I|w|jlpt-1
650|わたす|渡す |(動I)|etwas überreichen|to pass over, to hand over|w|jlpt-1
651|わたる|渡る |(動I)|hinübergehen|to cross over/to go across|w|jlpt-1
652|わるい|悪い |(形)|schlecht|bad/inferior|w|jlpt-1
653|~や|~屋|(尾)|~ Geschäft|~store|y|jlpt-1
654|やおや|八百屋|(名)|Gemüsehändler|greengrocer|y|jlpt-1
655|やさい|野菜 |(名)|Gemüse|vegetable|y|jlpt-1
656|やさしい|易しい |(形)|leicht;einfach|easy/plain/simple|y|jlpt-1
657|やすい|安い |(形)|günstig;ruhig|cheap/inexpensive/peaceful/quiet/gossipy/thoughtless|y|jlpt-1
658|やすみ|休み |(名)|sich ausruhen;Urlaub machen|(1) rest/recess/respite/(2) vacation/holiday/absence/suspension/(3) moulting|y|jlpt-1
659|やすむ|休む ||sich ausruhen|to rest/to have a break/to take a day off/to be finished/to be absent/to retire/to sleep|y|jlpt-1
660|やっつ|八つ |(名)|acht|eight|y|jlpt-1
661|やま|山 |(名)|Berg|(1) mountain/(2) pile/heap/(3) climax/critical point|y|jlpt-1
662|やる （仕事をやる）||(動I)|tun;machen;treiben|to do/to have sexual intercourse/to kill/to give (to inferiors, animals, etc.)/to dispatch (a letter)/to send/to study/to perform/to play (sports, game)/to have (eat, drink, smoke)/to row (a boat)/to run or operate (a restaurant)|y|jlpt-1
663|ゆうがた|夕方 ||Abend|evening|y|jlpt-1
664|ゆうびんきょく|郵便局 |(名)|Post-Amt|post office|y|jlpt-1
665|ゆうべ （’昨晩’の意）|||Abend|evening|y|jlpt-1
666|ゆうめい|有名 |(名)|berühmt|fame|y|jlpt-1
667|ゆき|雪 |(名)|Schnee|snow|y|jlpt-1
668|ゆっくり|||langsam|slowly, at ease|y|jlpt-1
669|ようか|八日 |(名)|acht Tage;der achte Tag|eight days/the eighth (day of the month)|y|jlpt-1
670|ようふく|洋服 |(名)|westliche Kleidung|Western-style clothes|y|jlpt-1
671|よく （よく行く）|||häufig;oft|frequently, often|y|jlpt-1
672|よく （よくできる）|||nett;gut;etwas gut können|nice/properly/well/skilled in|y|jlpt-1
673|よこ|横 ||Seite;Weite|beside/side/width|y|jlpt-1
674|よっか|四日 |(名)|vier Tage;der vierte Tag|four days/the fourth (day of the month)|y|jlpt-1
675|よっつ|四つ |(名)|vier|four|y|jlpt-1
676|よぶ|呼ぶ|(動I)|anrufen|to call out/to invite|y|jlpt-1
677|よむ|読む|(動I)|lesen|to read|y|jlpt-1
678|よる|夜|(名)|Abend;Nacht|evening/night|y|jlpt-1
